Time,realtime_start_NGDPSAXDCUSQ,value_NGDPSAXDCUSQ,Time_NGDPSAXDCUSQ
218,2021-06-14,,1965-04-01
219,2022-02-07,182547.8,1965-04-01
220,2024-07-29,182547.796875,1965-04-01
221,2025-06-02,182547.8,1965-04-01
222,2025-06-16,182547.796875,1965-04-01
223,2025-07-21,182547.8,1965-04-01
224,2021-06-14,,1965-07-01
225,2022-02-07,187330.8,1965-07-01
226,2024-07-29,187330.796875,1965-07-01
227,2025-06-02,187330.8,1965-07-01
228,2025-06-16,187330.796875,1965-07-01
229,2025-07-21,187330.8,1965-07-01
230,2021-06-14,,1965-10-01
231,2022-02-07,192964.3,1965-10-01
232,2024-07-29,192964.296875,1965-10-01
233,2025-06-02,192964.3,1965-10-01
234,2025-06-16,192964.296875,1965-10-01
235,2025-07-21,192964.3,1965-10-01
236,2021-06-14,,1966-01-01
237,2022-02-07,198933.5,1966-01-01
238,2021-06-14,,1966-04-01
239,2022-02-07,201245.3,1966-04-01
240,2024-07-29,201245.296875,1966-04-01
241,2025-06-02,201245.3,1966-04-01
242,2025-06-16,201245.296875,1966-04-01
243,2025-07-21,201245.3,1966-04-01
244,2021-06-14,,1966-07-01
245,2022-02-07,204909.5,1966-07-01
246,2021-06-14,,1966-10-01
247,2022-02-07,208325.5,1966-10-01
248,2021-06-14,,1967-01-01
249,2022-02-07,211042.5,1967-01-01
250,2021-06-14,,1967-04-01
251,2022-02-07,212245.8,1967-04-01
252,2024-07-29,212245.796875,1967-04-01
253,2025-06-02,212245.8,1967-04-01
254,2025-06-16,212245.796875,1967-04-01
255,2025-07-21,212245.8,1967-04-01
256,2021-06-14,,1967-07-01
257,2022-02-07,216308.3,1967-07-01
258,2024-07-29,216308.296875,1967-07-01
259,2025-06-02,216308.3,1967-07-01
260,2025-06-16,216308.296875,1967-07-01
261,2025-07-21,216308.3,1967-07-01
262,2021-06-14,,1967-10-01
263,2022-02-07,220359.8,1967-10-01
264,2024-07-29,220359.796875,1967-10-01
265,2025-06-02,220359.8,1967-10-01
266,2025-06-16,220359.796875,1967-10-01
267,2025-07-21,220359.8,1967-10-01
268,2021-06-14,,1968-01-01
269,2022-02-07,227346.8,1968-01-01
270,2024-07-29,227346.796875,1968-01-01
271,2025-06-02,227346.8,1968-01-01
272,2025-06-16,227346.796875,1968-01-01
273,2025-07-21,227346.8,1968-01-01
274,2021-06-14,,1968-04-01
275,2022-02-07,233586.0,1968-04-01
276,2021-06-14,,1968-07-01
277,2022-02-07,237706.3,1968-07-01
278,2024-07-29,237706.296875,1968-07-01
279,2025-06-02,237706.3,1968-07-01
280,2025-06-16,237706.296875,1968-07-01
281,2025-07-21,237706.3,1968-07-01
282,2021-06-14,,1968-10-01
283,2022-02-07,242007.5,1968-10-01
284,2021-06-14,,1969-01-01
285,2022-02-07,248334.3,1969-01-01
286,2024-07-29,248334.296875,1969-01-01
287,2025-06-02,248334.3,1969-01-01
288,2025-06-16,248334.296875,1969-01-01
289,2025-07-21,248334.3,1969-01-01
290,2021-06-14,,1969-04-01
291,2022-02-07,252255.0,1969-04-01
292,2021-06-14,,1969-07-01
293,2022-02-07,257489.0,1969-07-01
294,2021-06-14,,1969-10-01
295,2022-02-07,259536.8,1969-10-01
296,2024-07-29,259536.796875,1969-10-01
297,2025-06-02,259536.8,1969-10-01
298,2025-06-16,259536.796875,1969-10-01
299,2025-07-21,259536.8,1969-10-01
300,2021-06-14,,1970-01-01
301,2022-02-07,262800.0,1970-01-01
302,2021-06-14,,1970-04-01
303,2022-02-07,266843.8,1970-04-01
304,2024-07-29,266843.8125,1970-04-01
305,2025-06-02,266843.8,1970-04-01
306,2025-06-16,266843.8125,1970-04-01
307,2025-07-21,266843.8,1970-04-01
308,2021-06-14,,1970-07-01
309,2022-02-07,271514.8,1970-07-01
310,2024-07-29,271514.8125,1970-07-01
311,2025-06-02,271514.8,1970-07-01
312,2025-06-16,271514.8125,1970-07-01
313,2025-07-21,271514.8,1970-07-01
314,2021-06-14,,1970-10-01
